Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Jayson Tatum;2732.2;2225;240;649;342;213;78;51
Joel Embiid;2284.1;2183;66;670;274;226;66;112
Luka Doncic;2390.5;2138;185;569;529;236;90;33
Shai Gilgeous-Alexander;2416;2135;58;329;371;192;112;65
Giannis Antetokounmpo;2023.6;1959;47;742;359;246;52;51
Anthony Edwards;2841.5;1946;213;458;350;259;125;58
Julius Randle;2737.3;1936;218;767;316;216;49;21
Donovan Mitchell;2432.4;1922;245;289;301;180;99;27
Trae Young;2540.7;1914;154;217;741;300;80;9
Zach LaVine;2767.9;1913;204;345;327;194;69;18
Damian Lillard;2106.6;1866;244;277;425;191;50;18
De'Aaron Fox;2435.2;1826;119;306;447;181;83;23
DeMar DeRozan;2681.6;1816;46;343;377;153;83;36
Jaylen Brown;2404.9;1784;163;459;232;197;75;26
Pascal Siakam;2652;1720;93;556;415;169;65;36
Lauri Markkanen;2272.5;1691;200;570;123;127;42;38
Nikola Jokic;2323;1690;57;817;678;247;87;47
Jalen Green;2602.2;1683;187;284;281;200;59;18
Jordan Poole;2458.1;1675;214;225;369;252;63;21
Mikal Bridges;2963.2;1671;169;364;273;127;91;61
Stephen Curry;1941.2;1648;273;341;352;179;52;20
Jalen Brunson;2378.7;1633;134;241;421;142;61;15
Kyrie Irving;2240.6;1623;188;304;331;128;66;45
Ja Morant;1948.3;1596;92;357;493;206;66;16
LeBron James;1953.9;1590;121;457;375;178;50;32
CJ McCollum;2649.2;1568;211;328;429;183;70;38
Bam Adebayo;2598;1529;1;688;240;187;88;61
Dejounte Murray;2693.4;1515;133;389;448;160;112;19
Domantas Sabonis;2735.6;1510;31;973;573;230;65;39
Klay Thompson;2278.9;1509;301;286;163;123;49;29
Kristaps Porzingis;2119.5;1505;137;546;174;137;58;100
Darius Garland;2447.2;1490;169;185;538;199;85;9
Franz Wagner;2608.7;1485;130;329;283;167;77;17
Devin Booker;1835.4;1471;111;240;293;145;51;18
Jimmy Butler;2138;1466;36;375;340;101;117;21
Anthony Davis;1904.5;1451;19;702;148;122;59;114
Nikola Vucevic;2746.4;1447;121;903;265;139;60;57
Paolo Banchero;2429.7;1437;85;497;269;200;60;39
RJ Barrett;2475.5;1431;121;368;201;164;31;15
Keldon Johnson;2063.3;1385;134;318;183;134;46;11
Spencer Dinwiddie;2725.3;1369;181;270;515;145;67;24
Kevin Durant;1671.8;1366;93;313;235;156;34;67
Kyle Kuzma;2238.9;1357;160;463;239;190;36;29
Tyler Herro;2335.4;1347;203;360;280;158;51;16
Buddy Hield;2481.9;1344;288;400;225;139;92;26
Fred VanVleet;2535;1335;207;280;495;140;123;38
Paul George;1938.9;1332;158;342;288;176;83;20
Terry Rozier;2220.9;1329;165;259;319;134;74;16
Anfernee Simons;2170.7;1306;212;161;253;128;42;14
Bennedict Mathurin;2222.4;1302;100;318;116;152;48;13
Jamal Murray;2133.4;1298;172;257;400;145;66;16
Jerami Grant;2245.5;1290;144;283;150;116;51;53
Jrue Holiday;2182.5;1290;158;341;495;197;79;25
Evan Mobley;2715.3;1277;22;711;224;146;60;119
Bojan Bogdanovic;1892.9;1273;145;223;152;135;34;8
Jordan Clarkson;1988.3;1271;155;246;270;186;33;13
D'Angelo Russell;2304.1;1263;194;215;437;186;70;29
Josh Giddey;2367.3;1260;76;599;469;211;57;31
Desmond Bane;1841.5;1247;166;291;254;126;56;22
Brook Lopez;2372.5;1239;136;520;99;107;37;193
Kawhi Leonard;1747.5;1239;104;338;204;88;72;28
Harrison Barnes;2662;1230;132;366;128;86;57;10
Tyrese Maxey;2015.8;1218;160;176;212;80;49;8
James Harden;2135;1216;161;354;618;195;71;31
Immanuel Quickley;2344.1;1209;168;337;279;100;80;14
Jaden Ivey;2304.3;1204;120;288;387;237;61;17
Deandre Ayton;2035.3;1203;7;667;115;120;37;53
Scottie Barnes;2677.6;1179;63;512;371;154;83;61
Jaren Jackson Jr.;1787.5;1173;100;426;60;107;65;189
Bradley Beal;1672.9;1160;80;196;271;145;45;33
Tyrese Haliburton;1882.9;1160;161;205;585;141;91;25
Russell Westbrook;2125.8;1159;89;423;551;255;76;33
Gary Trent Jr.;2118;1148;166;173;106;55;104;14
Trey Murphy III;2448;1148;202;281;112;61;89;43
P.J. Washington;2379.6;1144;149;358;175;110;66;79
Kevin Huerter;2202.8;1140;205;251;221;97;80;24
Kevin Porter Jr.;2023.9;1130;141;314;338;188;82;17
O.G. Anunoby;2385.7;1124;142;332;131;132;128;50
Jonas Valanciunas;1968.2;1115;38;804;140;159;20;52
Christian Wood;1738.4;1114;105;491;121;121;30;72
Myles Turner;1825.2;1113;93;466;89;103;36;140
Brandon Ingram;1538.1;1112;64;246;262;148;32;19
Aaron Gordon;2055.1;1109;60;446;203;98;54;51
Alperen Sengun;2170.7;1109;19;678;291;193;70;70
Tobias Harris;2435.9;1085;126;424;186;89;68;40
Michael Porter Jr.;1797.9;1080;188;341;65;68;37;29
Saddiq Bey;2128.7;1062;151;362;118;71;70;13
Jalen Williams;2275.6;1056;73;337;248;123;103;35
Dillon Brooks;2214.3;1047;143;244;189;104;65;16
Malik Monk;1719.2;1041;143;203;298;146;49;20
Kenyon Martin Jr.;2292.2;1039;68;452;123;91;41;30
De'Andre Hunter;2125.6;1029;100;284;94;82;35;17
Malik Beasley;2093.1;1025;235;283;124;90;65;9
Norman Powell;1567.1;1019;114;175;109;101;50;18
Tim Hardaway Jr.;2152.2;1019;212;251;129;60;49;12
Derrick White;2319.3;1017;149;293;321;95;54;76
Luguentz Dort;2272.4;1013;135;344;154;92;75;23
Jabari Smith Jr.;2450.5;1010;120;569;101;104;43;74
Malcolm Brogdon;1743.8;1000;132;280;248;98;45;18
Bobby Portis;1818.4;987;95;672;105;81;29;16
Keegan Murray;2381.7;976;206;371;98;60;61;42
Kelly Oubre Jr.;1547.5;972;108;249;54;64;68;18
Jarrett Allen;2220.1;969;1;666;113;93;54;84
Nic Claxton;2270.7;961;0;702;144;96;65;189
Jaden McDaniels;2416.5;953;107;307;148;112;74;76
Rudy Gobert;2148.5;939;0;814;87;122;56;95
John Collins;2129.6;931;70;462;85;79;42;73
Bruce Brown;2279.5;923;91;328;268;123;87;51
Max Strus;2272;923;197;258;171;69;42;12
